30000 30000 30000 30000
dinosaur 2 0 2 56
expand 111 27 296 288
itsbulk 0 0 0 1
fearsom 2 2 0 2
beast 1 1 1 11
live 283 118 150 358
fast 39 76 43 124
diedyoung 0 0 0 1
procrastin 0 0 2 2
turnedinto 0 0 0 1
workahol 0 0 0 2
gene 8 17 6 79
treatment 107 36 110 53
braincompound 0 0 0 1
born 33 16 6 39
andsoul 0 0 0 1
parti 1020 65 62 91
so 238 666 268 573
seem 98 258 104 212
dolphin 30 253 0 16
shakespear 3 0 0 9
rose 119 95 1376 109
ani 360 378 228 325
othernam 0 0 0 1
smell 9 4 6 19
sweet 8 21 16 15
right 506 711 198 286
wednesdaythey 0 0 0 2
permiss 29 14 30 35
clone 12 1 1 101
human 313 35 39 464
embryo 8 0 1 38
medicalresearch 0 0 0 1
believ 274 306 73 251
licens 7 12 75 239
tobe 4 0 2 2
spacecom 0 0 0 149
expedit 2 0 1 26
evid 140 43 108 186
alien 12 0 3 37
spaceship 0 0 0 38
someth 22 167 46 131
explos 690 23 25 71
siberia 7 0 0 8
1908 1 1 0 1
expert 150 25 98 361
asteroid 1 0 0 45
comet 0 6 0 47
long 190 409 213 366
massiv 139 41 76 122
blast 353 41 15 81
nearbi 52 10 6 21
star 143 605 83 244
harbor 10 15 2 15
appear 361 329 162 303
planet 16 11 3 317
presum 11 3 1 7
smaller 27 8 77 125
jupit 0 0 2 40
pluto 0 0 1 6
observ 87 22 30 102
suggest 192 71 189 214
fine 24 156 135 101
display 40 93 42 229
shoot 112 164 8 48
peak 11 16 71 49
overnight 105 58 64 20
morn 233 302 240 154
astronom 5 0 1 177
perseid 0 0 0 7
meteor 1 4 1 56
shower 6 14 8 47
event 114 386 60 164
sever 445 182 326 451
explor 20 6 51 424
moon 14 10 2 433
solar 8 0 2 177
nbspexcit 0 0 0 1
task 45 30 18 114
robot 5 0 9 199
alik 6 4 3 16
actual 16 35 25 95
nbspget 0 0 0 1
rat 6 0 0 19
addict 9 11 2 40
taken 272 145 105 163
studi 77 23 162 635
anim 35 12 102 171
exhibit 22 96 12 32
compuls 3 0 1 1
cocain 25 47 0 5
onc 147 210 128 228
theyr 13 32 13 89
truli 4 21 7 16
hook 3 25 2 34
amid 315 31 400 52
uncertainti 16 10 70 20
fate 83 34 17 11
hubbl 0 0 0 83
telescop 0 1 1 163
nasa 9 0 3 931
sean 3 48 13 71
okeef 1 0 0 22
goahead 15 84 23 7
monday 2127 1478 2573 1200
mission 159 18 15 328
armadillo 0 0 0 2
aerospac 4 0 68 35
mesquit 0 0 0 1
crash 276 159 42 134
weekend 285 415 213 64
prototyp 2 2 4 52
x 2 5 2 191
rocket 240 121 11 249
blacktail 0 0 0 1
prairi 5 29 2 11
dog 44 24 18 59
endang 32 1 6 96
speci 25 0 4 268
conclud 77 36 37 43
rodent 2 0 0 8
longer 65 94 63 136
threaten 485 73 142 145
earlier 222 140 256 213
tri 625 430 266 444
pin 8 14 6 13
normal 34 26 44 53
burn 65 49 15 70
mow 0 0 2 16
spray 4 5 15 10
purpl 6 1 2 2
loosestrif 0 0 0 1
weed 3 1 4 15
region 1078 30 265 162
plagu 32 22 14 37
until 168 212 127 196
parker 3 20 4 6
river 47 82 30 66
wildlif 24 3 3 93
refug 18 3 4 12
set 606 701 572 662
european 840 391 983 451
beetl 0 0 2 8
pair 41 189 35 56
silicon 0 2 20 145
valley 18 31 45 64
supercomput 2 0 19 224
rank 46 273 117 114
alongsid 18 19 9 25
largest 233 20 1469 504
linuxbas 0 0 3 47
clannish 0 0 0 1
agress 0 0 0 1
argentin 25 37 13 3
ant 3 4 2 19
laid 38 20 24 29
sinc 575 624 439 399
arriv 335 163 72 114
australia 400 714 296 97
ago 473 404 311 443
fight 637 291 153 237
neighbor 105 6 11 14
nest 1 0 0 19
form 84 151 121 225
supercoloni 0 0 0 1
span 6 26 7 11
60 92 124 74 109
mile 101 77 41 172
mani 424 284 385 610
vacat 28 11 22 9
sky 46 41 27 107
dark 28 44 12 58
bestknown 6 4 10 5
promis 260 87 129 227
abov 49 34 366 73
averag 45 51 410 58
rescuer 78 1 0 3
succeed 74 33 54 35
free 260 274 177 476
mink 2 0 0 4
whale 43 0 0 63
wash 30 34 21 44
beach 98 96 29 49
southeastern 37 44 20 11
brazil 159 110 59 43
fire 612 353 204 175
depart 217 56 529 341
redfoot 0 0 0 1
falcon 1 79 1 5
spot 72 216 46 148
north 1020 246 227 228
entic 12 6 7 15
birdwatch 0 0 0 3
martha 11 1 174 7
vineyard 1 0 4 2
gammaray 0 0 0 9
burst 27 23 17 29
univers 63 388 190 685
temporari 21 18 56 27
outshin 0 0 0 1
galaxi 2 13 1 47
signal 100 20 138 114
birth 33 14 4 45
black 163 109 184 74
hole 50 212 17 136
tropic 124 2 7 28
strike 453 109 305 55
meteorologist 5 0 0 11
never 111 289 67 123
seen 169 93 132 163
genesi 7 0 0 126
spacecraft 7 0 3 376
adjust 19 15 53 20
cours 78 253 40 84
toward 301 154 206 159
earth 43 18 15 433
sampl 15 28 6 92
wind 200 67 29 82
particl 2 1 0 40
agenc 709 84 254 474
flip 4 13 6 17
coin 4 2 4 6
common 69 25 75 167
sort 24 42 21 47
tail 2 7 6 8
unusu 35 20 35 55
land 201 87 92 184
edg 66 146 204 85
knowledg 7 16 9 40
ponder 3 15 12 17
question 256 260 185 249
rariti 0 0 1 5
toggl 0 0 0 2
switch 12 37 28 180
eye 81 118 87 132
screen 29 16 28 236
oregon 8 45 6 12
graduat 15 20 9 15
student 120 45 39 191
anthoni 4 135 15 11
kirincich 0 0 0 2
array 10 4 10 69
probe 61 16 176 145
vibrant 4 1 5 3
pacif 94 13 58 89
absenc 16 49 15 14
denver 5 218 26 19
colorado 27 209 23 39
twin 60 182 22 22
mar 32 23 5 290
transmit 0 0 7 35
teas 0 8 1 2
reinforc 31 6 26 8
microbi 0 0 0 6
exist 32 16 60 142
red 163 1350 84 313
india 795 433 292 188
rethink 5 4 3 9
man 565 558 75 346
2015 5 0 2 10
lot 19 119 73 138
yield 15 16 60 33
veri 76 145 69 173
return 436 836 235 225
venu 9 110 0 27
sun 30 183 74 639
8 55 133 180 93
dot 2 4 2 10
delight 13 37 4 15
skywatch 0 0 0 12
note 37 46 78 58
obviou 3 28 4 15
amount 47 35 72 88
sunlight 0 4 0 11
reach 332 540 410 337
dip 12 5 109 14
01 13 10 62 25
percent 271 88 2958 557
few 165 244 148 340
hour 391 228 107 197
cant 15 43 18 80
wait 89 195 89 116
reformul 0 0 0 1
websit 66 33 29 163
previou 59 63 193 77
forest 40 108 26 73
reject 265 80 195 99
environmentalist 23 0 8 36
appeal 264 111 187 148
poison 75 2 12 20
lake 38 101 14 68
taho 0 2 0 3
aid 653 11 131 68
rarest 1 1 0 8
trout 0 0 0 2
pleasur 2 5 3 6
stargaz 0 0 0 10
notic 21 34 30 73
enjoy 31 67 43 49
variou 19 17 17 70
color 15 22 14 100
hue 1 1 0 5
direct 164 59 139 138
visual 1 1 1 75
stellar 0 23 2 12
temperatur 8 10 19 51
vari 4 6 3 20
britain 505 181 202 117
join 243 255 148 245
stem 40 17 114 111
cell 63 10 98 547
rang 95 28 180 206
pilot 48 17 307 123
race 233 1000 87 133
3610 1 3 5 18
ansari 3 0 0 62
purs 0 9 7 6
flight 135 35 254 360
heat 53 162 304 97
parent 81 26 205 92
typic 11 18 20 45
gain 144 93 809 195
pound 163 84 111 37
valid 5 6 2 16
spaceflight 0 0 0 23
outward 1 0 0 2
outdat 3 0 3 16
costli 4 6 44 21
trivial 0 1 0 7
stage 158 299 79 79
orbit 11 0 1 258
globe 15 29 26 48
14 187 238 202 137
staterun 47 0 6 8
newspap 223 56 217 77
sunspot 0 0 0 4
aim 354 59 215 486
grown 6 10 13 29
20 318 543 284 255
potenti 106 101 195 232
unleash 45 10 6 35
major 612 672 741 596
lunar 1 4 0 94
further 170 82 263 124
shortfal 6 2 37 8
informationgath 1 0 3 2
capabl 93 22 12 214
climat 93 2 22 155
pollut 27 0 11 89
england 128 1158 121 55
atlant 47 82 56 47
1400yearold 0 0 0 1
relic 9 0 0 3
ancient 34 36 7 77
citadel 1 2 0 2
hanoi 21 0 3 1
concern 287 113 664 202
priceless 4 1 0 3
antiqu 9 1 2 16
risk 132 38 245 203
exposur 3 5 6 12
element 17 7 11 36
victori 306 2476 82 39
rule 628 220 572 328
fisheri 4 0 0 13
must 219 133 130 133
meet 686 468 546 205
tuna 0 1 1 3
catch 22 98 26 106
carri 347 163 55 188
dolphinsaf 0 0 0 1
label 31 14 33 103
move 531 631 788 655
rescu 153 25 39 24
age 88 94 66 163
cave 7 2 2 16
discov 64 20 31 291
pit 23 32 12 23
insid 121 76 58 124
mountain 91 65 28 74
croatia 8 18 0 2
deepest 1 1 2 9
subterranean 0 0 0 1
vertic 0 1 1 15
1700 5 2 3 3
feet 35 50 19 46
aquarium 0 0 0 6
baltimor 19 285 15 15
review 71 39 142 183
breed 10 5 4 33
death 849 70 35 99
4monthold 4 0 0 3
carolina 27 299 23 45
way 431 592 349 709
accur 9 12 4 22
measur 150 42 136 137
rainfal 2 0 0 10
small 167 55 170 432
lowbudget 0 0 0 2
stab 28 5 3 5
suffer 157 262 102 104
setback 27 37 36 36
malfunct 6 3 7 11
1000 97 19 59 68
pressur 249 96 237 84
nevada 10 22 4 19
environment 43 2 38 130
protect 195 40 268 418
gov 39 3 34 46
kenni 1 28 2 1
guinn 0 0 0 1
might 206 356 229 318
reconsid 9 7 5 11
opposit 624 37 44 49
superfund 0 0 0 2
cleanup 2 3 7 4
declar 252 69 71 60
abandon 93 31 25 71
mine 202 7 177 28
contamin 11 2 12 28
toxic 21 0 5 26
wast 29 29 25 30
uranium 327 1 4 4
choic 60 79 37 68
rape 71 77 4 5
case 319 174 294 293
werent 6 18 4 13
abl 67 117 60 251
suspect 736 22 27 89
statut 4 0 1 3
limit 67 60 196 144
expir 34 27 56 21
prosecutor 188 67 104 45
across 356 80 202 339
themselv 67 117 43 88
keep 243 349 340 305
cold 60 32 66 42
indict 52 14 39 26
unidentifi 46 7 3 8
rapist 7 0 0 1
dna 13 6 5 89
profil 20 6 973 116
half 161 380 298 237
loggerhead 1 1 0 2
turtl 2 0 0 19
explan 16 10 3 19
unveil 46 48 125 555
cat 33 9 9 48
fill 69 79 54 68
order 390 125 433 255
pet 8 1 9 13
deepsea 1 0 0 2
vessel 24 0 2 21
99 6 15 7 27
floor 34 26 27 41
dive 4 62 5 9
deeper 15 5 24 26
alvin 0 18 0 2
pioneer 6 3 39 123
seafloor 0 0 0 1
vent 8 5 0 7
plate 4 48 4 9
tecton 0 0 0 1
deep 56 62 34 79
creatur 1 1 0 51
40 146 170 107 103
choru 8 8 4 2
frog 1 4 0 18
virginia 12 282 67 67
outsid 399 106 103 129
previous 43 36 98 123
known 154 91 91 264
beaufort 0 0 0 3
counti 46 58 77 114
nc 13 98 24 12
125 14 20 49 18
advanc 83 193 177 410
deploy 132 5 33 186
beneath 13 2 7 36
sea 141 18 30 123
behavior 15 16 16 29
phenomena 0 2 0 8
10day 4 5 0 3
gulf 83 6 169 22
mexico 112 43 175 45
exagger 7 2 10 9
effect 97 84 277 203
wildfir 2 0 0 6
california 47 289 226 400
owl 0 4 0 18
justifi 20 9 17 8
log 8 5 4 77
sierra 13 6 1 10
longtim 36 34 34 27
swedish 27 41 25 34
geologist 0 0 0 26
earthquak 211 20 11 89
happen 58 117 49 103
monitor 114 11 48 149
metal 24 0 78 21
zinc 4 0 2 1
copper 7 1 32 10
subsoil 0 0 0 1
site 288 58 143 928
squid 1 0 0 3
marin 228 170 15 49
ecosystem 1 0 0 19
worldwid 36 4 128 218
post 251 177 783 255
tougher 23 28 17 11
warm 66 41 10 202
equatori 126 0 0 2
el 50 205 24 10
nino 1 0 2 5
cassini 1 0 0 165
saturn 0 0 2 212
reveal 119 149 128 223
radiat 2 0 2 43
belt 23 36 9 9
ring 15 74 39 130
lightn 0 28 1 9
atmospher 22 15 2 91
occur 64 19 12 43
differ 108 134 86 213
pattern 10 12 7 28
did 190 429 141 148
voyag 1 0 5 23
flew 48 21 9 35
1980 25 23 23 31
gang 38 8 4 19
poacher 2 3 0 9
congo 155 1 1 5
slaughter 27 3 0 9
minuscul 1 0 0 1
popul 113 4 35 100
northern 762 58 135 79
white 254 264 71 129
rhino 4 0 0 10
reduc 101 40 361 155
onehalf 0 1 1 1
conserv 142 3 25 58
shark 36 3 9 33
attack 1986 124 213 429
bolder 0 0 0 2
biologist 2 0 1 41
lesson 8 25 10 12
learn 39 126 67 115
babi 51 10 14 57
bird 118 20 14 176
nice 1 33 10 19
youngster 8 22 1 8
brownhead 0 0 0 1
cowbird 0 0 0 2
leav 360 325 194 157
egg 9 10 5 30
then 112 308 75 178
rais 264 76 897 199
chick 0 0 3 9
canadian 602 103 214 115
announc 552 559 1251 2088
intend 70 25 62 99
begin 301 281 279 390
qualifi 31 583 9 13
ampm 0 34 13 2
houston 34 713 124 39
businessman 50 19 15 4
36125 2 0 3 1
gift 15 22 53 48
resid 255 23 67 81
tire 20 39 63 33
trash 4 4 6 12
swarm 23 9 2 22
locust 27 1 0 24
descend 42 14 6 24
un 1443 2 17 79
worst 146 129 30 40
subsaharan 9 0 1 3
invas 136 1 7 24
advisori 9 0 31 35
bugtraq 0 0 0 2
demonstr 139 22 27 112
compromis 45 5 7 56
tmobil 0 2 5 39
landlin 1 0 3 2
box 49 185 39 91
callerid 0 0 0 2
spoof 2 0 3 30
bypass 23 6 9 22
vendor 4 1 62 347
option 30 146 137 152
default 0 2 19 8
better 103 230 172 301
iron 17 18 26 19
cement 12 15 47 4
domin 89 239 80 197
browser 1 0 3 507
effort 486 112 338 448
support 600 150 259 663
nbspat 0 0 0 1
user 15 3 98 1479
regist 58 35 45 52
ran 45 261 37 27
stori 67 112 53 121
6th 2 7 1 4
spam 4 0 11 350
miseri 7 23 1 2
loom 34 16 41 16
statesid 3 1 0 5
legisl 192 8 52 83
nasti 7 9 11 18
washington 684 609 1119 702
dc 5 140 46 37
essenti 19 6 8 40
gut 5 12 1 8
junk 4 0 13 76
fax 1 3 6 11
law 343 48 251 258
replac 145 212 158 195
wet 3 15 9 10
dream 41 140 25 62
liber 140 5 20 19
bia 3 2 3 3
versu 2 30 61 20
rightw 33 2 0 1
conspiraci 30 12 50 41
wonder 23 85 56 70
distract 9 27 4 6
side 154 496 88 119
true 22 63 14 40
confront 63 33 20 20
physicist 10 1 0 17
contradictori 5 1 1 3
hypothes 0 0 0 1
she 259 472 208 133
basic 19 10 22 73
introduc 47 80 75 459
michel 23 24 8 29
gondri 0 0 0 1
amaz 3 31 4 22
tantal 1 2 3 7
film 101 25 130 186
video 186 30 117 824
havent 4 15 9 19
heard 61 55 25 57
him 676 992 135 94
youv 3 2 11 34
probabl 67 128 95 110
recent 333 190 536 509
etern 3 2 0 2
sunshin 2 12 3 4
spotless 1 2 0 1
alon 25 42 14 39
simpl 13 47 26 62
howev 27 61 33 81
under 638 280 431 370
master 24 356 12 31
guidanc 8 2 56 20
come 303 623 379 615
togeth 72 94 47 161
mesmer 1 1 1 1
ceas 14 3 16 5
idea 45 39 59 138
medium 6 1 10 34
australian 437 354 290 89
defenc 178 39 48 21
defend 154 498 64 76
airsea 0 0 0 3
requir 56 45 116 171
autonom 4 0 0 19
weaponri 5 1 0 4
joint 93 16 165 96
fighter 226 29 8 12
solv 34 20 7 77
detriment 0 3 1 2
aerial 12 4 5 12
refuel 0 0 21 4
platform 19 9 39 326
similar 46 25 54 117
taiwan 247 5 32 59
partnership 28 24 73 137
satisfi 11 24 15 21
strateg 37 2 71 61
piec 39 41 23 111
explain 43 53 26 83
anomali 1 2 3 2
citizen 133 15 19 35
wors 26 46 23 22
articl 7 8 19 114
panel 97 32 65 158
shown 54 33 28 36
incom 64 6 253 53
variabl 0 1 1 5
queue 5 5 3 10
submiss 3 3 0 4
scarc 5 2 6 7
limerick 0 0 0 1
consider 12 38 17 41
mod 0 0 0 7
favorit 9 100 16 68
im 8 18 10 115
poet 14 0 1 4
ill 105 68 46 39
childhood 16 9 2 16
young 151 234 40 82
woman 270 83 26 53
bright 4 18 20 53
travel 153 80 257 214
faster 22 14 57 156
night 568 3035 150 154
afraid 8 5 6 3
rememb 33 93 17 50
java 10 0 9 198
often 48 83 47 112
load 13 27 21 41
properti 14 5 215 90
runtim 0 0 0 4
behaviorof 0 0 0 1
applicationsfor 0 0 0 1
exampl 16 16 12 48
develoepr 0 0 0 1
defin 17 20 23 46
maxconnect 0 0 0 3
todefin 0 0 0 1
maximum 10 6 8 21
tcp 0 0 0 1
connect 78 40 106 335
server 3 2 46 1018
cansupport 0 0 0 1
prevent 148 48 75 120
thisvari 0 0 0 1
nameth 0 0 0 1
reaction 32 22 25 18
namespac 0 0 0 1
insteadof 0 0 0 1
usemyapplicationservermaxconnect 0 0 0 1
ofcours 0 0 0 1
startuppubl 0 0 0 1
static 0 0 1 19
int 0 2 0 2
integerparseint 0 0 0 1
systemgetpropertymyapplications 0 0 0 1
sourc 320 108 226 604
cloudscap 0 0 0 3
jonathan 10 61 16 29
moor 18 33 8 17
linuxworld 0 0 2 9
lunch 11 29 6 9
whatkind 0 0 0 1
hardwar 4 4 22 218
linux 2 0 26 831
hack 15 1 1 56
expo 4 223 8 58
flooronli 0 0 0 1
15 229 232 279 219
door 40 50 44 58
notim 0 0 0 1
privaci 16 5 11 69
freak 3 3 1 8
libertyther 0 0 0 1
situat 93 55 76 22
worth 43 103 280 130
extremeviol 0 0 0 1
polic 1660 170 63 147
liberti 11 27 32 28
itthi 0 0 0 1
theircoloni 0 0 0 1
cherish 2 4 0 2
thinklong 0 0 0 1
machin 45 16 100 408
ican 0 0 0 1
entri 57 16 10 50
myself 1 1 2 12
thefutur 1 0 0 2
ntp 0 0 10 7
wrote 19 15 16 21
asmuch 0 0 0 1
read 60 62 88 159
me 21 78 30 103
via 10 8 21 207
googlei 0 0 0 1
sure 32 148 44 95
debian 0 0 0 10
bite 6 8 13 23
futureand 0 0 0 1
forget 10 55 18 37
myaggreg 0 0 0 1
done 51 127 36 83
dozen 295 33 50 97
save 122 132 234 157
ton 52 5 7 25
daemon 0 0 0 2
implement 47 0 35 106
within 200 141 154 239
alot 0 0 0 1
desiredfirst 0 0 0 1
config 0 0 0 2
yourown 0 0 0 1
etcntpdconf 0 0 0 1
configur 0 0 3 53
doesnt 32 60 34 85
accept 175 131 136 72
dnsname 0 0 0 1
manual 4 1 0 21
ip 3 0 17 125
understand 42 39 21 72
mightnot 0 0 0 1
overwhelm 26 44 10 20
butthey 0 0 0 1
dynam 8 12 25 25
balanc 14 32 55 41
availableserv 0 0 0 1
serv 146 103 124 89
googlefor 0 0 0 1
ital 0 0 0 2
serversserv 0 0 0 1
timenistgovserv 0 0 0 1
1924324418 0 0 0 1
log4j 0 0 0 2
migrat 9 0 7 76
codeov 0 0 0 1
logger 1 0 0 13
loggergetlogg 0 0 0 3
somenam 0 0 0 1
amazingli 0 2 0 8
ugli 12 45 6 1
difficult 52 92 37 38
withmost 0 0 0 1
classnameso 0 0 0 1
orgapachecommonsfeedparserlocatefeedloc 0 0 0 1
verbos 0 0 0 1
shorten 1 14 11 6
feedlocatorclass 0 0 0 1
errorswhat 0 0 0 1
loggerg 0 0 0 1
cnn 50 4 26 19
al 356 257 11 10
qaeda 171 1 5 3
leader 2289 301 212 210
osama 162 0 8 8
bin 194 4 11 11
laden 166 1 10 7
surrend 57 12 16 10
tosaudi 0 0 0 1
arabian 17 0 4 2
interior 126 0 6 19
ministri 329 7 56 39
saidbut 0 0 0 1
unclear 27 9 4 6
role 167 98 77 101
khale 9 0 0 1
alharbi 0 0 0 2
terrorattack 0 0 0 1
charg 682 425 664 336
himth 0 0 0 1
releas 880 205 407 1491
embassi 338 4 1 3
onemonthoff 0 0 0 1
lenienc 3 0 0 1
suspectsthi 0 0 0 1
creativ 4 3 7 51
toterror 0 0 0 1
involv 239 148 158 140
violenc 623 19 42 19
refresh 1 2 1 10
codei 0 0 0 1
newsmonst 0 0 0 2
forgot 0 11 1 5
thinkit 0 0 0 1
extens 29 112 37 62
mozilla 0 0 0 250
exceptionswith 0 0 0 1
stack 9 12 14 28
trace 40 12 2 32
unhandl 0 0 0 2
instal 37 21 28 217
except 33 46 29 28
showup 0 0 0 1
consoleveri 0 0 0 1
handi 1 3 1 10
hardcor 1 0 0 6
awash 0 1 5 7
reagan 6 0 9 3
nostalgia 2 3 2 1
predictingthat 0 0 0 1
unitedstatesi 0 0 0 1
unelect 0 0 0 1
atheist 0 0 0 1
somethingpeopl 0 0 0 1
wont 35 54 31 99
acceptwhat 0 0 0 1
vice 158 20 64 100
sanitydo 0 0 0 1
ever 120 215 126 267
churchno 0 0 0 1
visit 623 206 54 78
wife 120 62 37 14
sanghaso 0 0 0 1
practic 41 317 194 82
buddhismi 0 0 0 1
anyth 21 80 27 69
sympathi 5 2 1 5
admireth 0 0 0 1
fact 31 71 32 104
core 15 3 73 97
buddhist 45 1 0 2
teach 10 9 11 23
andlov 0 0 0 1
compassionso 0 0 0 1
straight 74 620 205 24
riyadh 42 1 1 2
milit 1362 3 5 5
hasturn 0 0 0 1
himself 131 207 21 26
undera 0 0 0 1
onemonth 3 1 19 2
amnesti 36 1 4 3
weekothman 0 0 0 1
alomari 0 0 0 1
26 93 149 111 92
acceptedk 0 0 0 1
fahd 0 0 0 1
made 533 845 407 538
saudisourc 0 0 0 1
mondayalomari 0 0 0 1
partner 63 58 184 224
ofshaban 0 0 0 1
shihri 0 0 0 2
member 565 185 199 194
turnedhimself 0 0 0 1
fridaywhen 0 0 0 1
upset 33 209 11 23
certainlylead 0 0 0 1
terrorist 555 10 37 53
baghdad 1806 4 12 6
interim 367 27 52 22
oath 12 0 1 1
ofoffic 0 0 0 1
unit 1937 1304 1620 649
nationssovereignti 0 0 0 1
schedulel 0 0 0 1
prime 2250 38 86 53
minist 3261 34 337 70
ayad 86 0 0 1
allawi 215 1 1 1
each 113 253 134 209
newgovern 1 0 0 1
koran 1 0 0 1
sincer 5 1 1 2
andimparti 0 0 0 1
iraqi 1996 1 49 12
flag 42 57 30 17
behind 207 287 122 187
themiraq 0 0 0 1
100 203 165 152 150
coalit 237 1 14 17
provision 12 26 5 6
afre 0 0 0 1
mass 199 52 38 86
destruct 106 1 15 28
syria 178 0 1 6
jordan 80 74 3 9
saudiarabia 0 0 0 2
pakistan 823 169 20 3
iranalso 0 0 0 1
puppet 2 2 0 2
occupi 115 10 4 5
java3d 0 0 0 1
manner 10 12 3 15
anyoth 1 0 0 2
existencew 0 0 0 1
3d 1 1 2 40
api 0 0 0 13
onjavanet 0 0 0 1
evolut 2 1 2 99
apicom 0 0 0 1
javanet 0 0 0 1
forth 13 5 6 16
vecmath 0 0 0 2
util 8 6 104 76
3dprogram 0 0 0 1
examplesth 0 0 0 1
bsd 0 0 0 1
licenseand 0 0 0 1
cv 0 0 6 6
directionher 0 0 0 1
problemw 0 0 0 1
j3dcore 0 0 0 1
u 2 5 1 7
javaon 0 0 0 2
aterr 0 0 0 1
decis 307 367 273 196
serious 84 28 8 16
hurt 59 73 200 35
sunand 0 0 0 1
thislet 0 0 0 1
sent 177 139 124 147
adyesterday 0 0 0 1
bushcheney 1 0 0 6
campaign 659 134 162 267
lose 69 433 148 86
decenc 1 0 1 2
placeda 0 0 0 1
disgust 1 4 0 2
themain 0 0 0 1
featur 28 83 46 598
bizarr 6 20 2 11
without 211 343 160 287
placesadolf 0 0 0 1
hitler 13 0 0 3
facesth 0 0 0 1
pull 215 275 157 99
ofadolf 0 0 0 1
politician 150 4 11 24
simpli 17 52 16 57
wrongwhich 0 0 0 1
juststupid 0 0 0 1
btw 0 0 0 2
masterpiec 15 4 0 8
shot 320 523 65 57
inther 0 0 0 1
moveon 1 0 0 2
contest 55 115 25 26
backher 0 0 0 1
cheney 98 2 10 8
inth 19 7 19 15
chamber 16 8 15 16
photo 48 33 27 277
session 80 98 180 25
chanc 136 417 76 108
sen 223 9 33 26
patrick 14 101 12 14
j 15 9 62 21
leahyvt 0 0 0 1
judiciari 13 1 0 13
committe 125 184 100 70
becam 72 263 64 68
argument 35 24 43 36
aboutcheney 0 0 0 1
tie 215 373 66 46
halliburton 11 1 109 1
co 61 17 1765 349
energi 190 37 655 124
corporationand 0 0 0 1
judici 34 4 3 6
nomine 48 10 9 5
exchang 111 56 640 130
offeredsom 0 0 0 1
crass 0 2 0 3
advicefuck 0 0 0 1
yourself 1 6 2 24
heartbeat 15 3 8 2
presidencywond 0 0 0 1
moral 18 25 9 13
thisit 0 0 0 1
profan 0 5 0 6
freedom 95 7 2 20
began 339 194 155 156
biggest 192 216 910 225
danger 150 50 60 99
clearli 12 29 9 31
knewfrom 0 0 0 1
bitter 54 51 52 22
king 142 128 51 69
georg 395 120 144 79
iii 0 21 6 17
seriou 79 84 66 115
threat 359 73 105 259
todemocraci 0 0 0 1
accumul 3 3 5 6
anexecut 0 0 0 1
whether 354 205 294 230
ingrain 0 1 0 2
distrustof 0 0 0 1
concentr 20 11 17 26
charact 16 27 4 48
persona 2 3 0 1
theindividu 0 0 0 1
wield 7 0 5 10
beconstrain 0 0 0 1
care 178 64 138 84
ensur 82 51 36 51
thesurviv 0 0 0 1
addit 39 28 108 162
taught 4 10 2 12
fear 365 84 291 96
themost 1 0 0 2
enemi 69 11 11 26
democraci 199 1 5 9
circumst 10 11 6 10
game 157 4251 198 1411
simciti 0 0 0 5
whotold 0 0 0 1
critic 410 114 109 250
bug 15 4 1 82
memori 52 97 64 279
rightaft 0 0 0 1
nono 0 0 0 1
ok 5 20 8 20
notwork 0 0 0 1
window 44 19 80 1244
freed 194 6 0 3
snatch 23 34 4 17
byanoth 0 0 0 1
away 207 410 143 242
tester 0 3 0 18
werego 0 0 0 1
theywork 1 0 0 1
kept 86 137 148 47
windowsdevelop 0 0 0 1
disassembl 0 0 0 1
step 361 194 311 310
debugg 0 0 0 1
foundth 0 0 0 1
itdid 0 0 0 1
zawodni 0 0 0 2
thread 2 3 1 11
scobl 0 0 0 2
ie 0 1 1 68
issuei 0 0 0 1
chair 11 47 14 13
wasthink 0 0 0 1
stupid 0 7 4 3
isful 0 0 0 1
smart 24 27 23 130
reallydoesnt 0 0 0 1
herelast 0 0 0 1
wasnt 11 71 2 35
pariti 0 2 0 1
mozillasbrows 0 0 0 1
popup 0 0 3 46
tab 3 5 4 12
brows 0 0 3 50
etcdo 0 0 0 1
missingperhap 0 0 0 1
knowth 0 0 0 1
bigger 19 30 57 54
cantsucce 0 0 0 1
4050 0 0 0 1
budget 54 16 172 52
disappear 74 15 5 35
ltstronggtopinionltstronggt 0 0 0 7
sap 5 0 20 100
hardli 11 42 7 14
blame 158 69 76 58
ltstronggtlettersltstronggt 0 0 0 26
reader 2 8 21 128
stake 38 102 456 70
ltstronggtpol 0 0 0 2
resultsltstronggt 0 0 0 1
ltemgtregltemgt 0 0 0 5
ladyboy 0 0 0 1
ltstronggtcompetitionltstronggt 0 0 0 1
watchdog 205 1 42 45
broadband 5 0 50 313
gameboy 0 0 2 6
microgam 0 0 0 1
innov 6 1 33 118
festiv 48 11 8 21
scotland 36 154 23 19
